		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
							(0.019)																	(0.023)	(0.025)	(0.025)	(0.025)	(0.025)	(0.025)	(0.023)	(0.022)	(0.023)	(0.021)	(0.021)	(0.021)	(0.021)	(0.020)		(0.023)	(0.021)	(0.022)	(0.021)	(0.021)	(0.019)	(0.021)	
captain_experience_d	Not the first voyage of the captain							0.013																				0.043	0.043	0.042	0.044	0.049	0.050	0.049	0.043	0.043	0.045	0.063	0.043	0.043	0.058	0.050	0.049	0.032	0.043	
								(0.044)																				(0.044)	(0.044)	(0.041)	(0.039)	(0.042)	(0.043)	(0.043)	(0.044)	(0.044)	(0.042)	(0.048)	(0.040)	(0.044)	(0.046)	(0.043)	(0.043)	(0.038)	(0.038)	
captain_experience	(min) captain_experience								0.00026																		0.0023																			
									(0.0087)																		(0.0086)																			
captain_total_career	(mean) captain_total_career									0.0041																																				
										(0.0056)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.091															0.075		0.077	0.077	0.12**	0.066	0.085	0.087	0.088	0.068	0.068	0.082	0.091	0.068	0.068	0.054	0.087	0.088	0.039	0.068	
											(0.060)															(0.059)		(0.059)	(0.059)	(0.054)	(0.052)	(0.057)	(0.059)	(0.059)	(0.060)	(0.060)	(0.056)	(0.062)	(0.060)	(0.060)	(0.063)	(0.059)	(0.059)	(0.052)	(0.057)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00051													-0.00054		-0.00062																			
												(0.0010)													(0.0012)		(0.0011)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.0011																																	
													(0.00097)																																	
1.perspective	Perspective of source = 1, Captain													-0.56*																																
														(0.33)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.18)																																
4.perspective	Perspective of source = 4, Owner													0.27																																
														(0.43)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.14***															0.030	0.044	0.052	0.057				0.83***					0.057				
															(0.048)															(0.048)	(0.046)	(0.057)	(0.059)				(0.15)					(0.059)				
MORTALITY	Enslaved person mortality rate															-1.29***			-1.38***												-1.31***	-1.35***	-1.38***	-1.39***	-1.39***	-1.39***	-1.48***		-1.39***	-1.39***	-1.29***	-1.38***	-1.39***	-1.40***	-1.39***	
																(0.26)			(0.26)												(0.24)	(0.25)	(0.26)	(0.26)	(0.26)	(0.26)	(0.24)		(0.23)	(0.26)	(0.27)	(0.26)	(0.26)	(0.22)	(0.21)	
