transactionid,ventureid,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,timing,currency,remarks,specificationcategory,dateoftransaction,transaction_year
DR011_T002,DR011,Expenditure,Other expenditures,1078.78,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various,,
DR011_T003,DR011,Return,Total returns,1054.6,,0,,Return,Pound sterling,,Unknown,-74650,1755
DR012_H001,DR012,Expenditure,Ship Out,272.05609,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR012_H002,DR012,Return,Ship In,204.04207,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR012_T001,DR012,Expenditure,Insurance,90.760002,,0,,Outfitting,Pound sterling,,Insurance,-75473,1753
DR012_T002,DR012,Expenditure,Other expenditures,32.779999,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various,-75473,1753
DR012_T003,DR012,Expenditure,Outfitting,165.38,,0,,Outfitting,Pound sterling,,Outfitting,-75473,1753
DR012_T004,DR012,Expenditure,Trade cargo costs,1311.41,Credit,0,,Outfitting,Pound sterling,,Trade cargo,,
DR012_T005,DR012,Return,Total returns,1707.14,,0,,Return,Pound sterling,,Unknown,-73098,1759
DR013_H001,DR013,Expenditure,Ship Out,106.67,nan,0,VSDR,Outfitting,Pound sterling,,Ship,,
DR013_T001,DR013,Expenditure,Insurance,37.790001,,0,,Outfitting,Pound sterling,,Insurance,,
DR013_T002,DR013,Expenditure,Other expenditures,782.28998,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various,,
DR013_T003,DR013,Return,Other return,495.26999,,0,,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various,-75609,1752
DR013_T004,DR013,Return,Ship In,80,,0,,Return,Pound sterling,,Ship,-75609,1752
DR014_H001,DR014,Expenditure,Ship Out,380.41241,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR014_H002,DR014,Return,Ship In,285.3093,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR014_T001,DR014,Expenditure,Insurance,42.110001,,0,,Outfitting,Pound sterling,,Insurance,-74295,1756
DR014_T002,DR014,Expenditure,Insurance,9.9799995,,0,,Outfitting,Pound sterling,,Insurance,,
DR014_T003,DR014,Expenditure,Other expenditures,787.65002,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various,,
DR014_T004,DR014,Expenditure,Trade cargo costs,1397.98,Credit,0,,Outfitting,Pound sterling,,Trade cargo,,
DR014_T005,DR014,Return,Insurance loss reimbursement,821.20001,,0,,Return,Pound sterling,,Insurance,-74416,1756
DR014_T006,DR014,Return,Other return,641.03003,,0,,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various,-74416,1756
DR014_T007,DR014,Return,Returned goods,984.96002,,0,,Return,Pound sterling,,Cargo,-74416,1756
DR015_H001,DR015,Expenditure,Insurance,612,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR015_H002,DR015,Expenditure,Ship Out,522.495,nan,0,VSDT*VSDO*VSRV,Outfitting,Pound sterling,Residual value from previous voyage DR026,Ship,,
DR015_H003,DR015,Return,Ship In,391.87,nan,0,VSDT*VSDO*VSRV*VSRV,Return,Pound sterling,,Ship,,
DR015_T001,DR015,Expenditure,Gross outlays,5566,,0,,Outfitting,Pound sterling,,Unknown,,
DR015_T002,DR015,Return,Net inset,5030,,0,,Return,Pound sterling,,Unknown,,
DR016_H001,DR016,Expenditure,Insurance,100,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR016_H002,DR016,Expenditure,Ship Out,172.21001,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR016_H003,DR016,Return,Ship In,129.1575,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR016_T001,DR016,Expenditure,Gross outlays,913,,0,,Outfitting,Pound sterling,,Unknown,,
DR016_T002,DR016,Return,Net return,2620,,0,,Return,Pound sterling,,Unknown,,
DR017_H001,DR017,Expenditure,Insurance,588,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR017_H002,DR017,Expenditure,Ship Out,1009,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR017_H003,DR017,Return,Ship In,757,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR017_T001,DR017,Expenditure,Outfitting,2819,,0,,Outfitting,Pound sterling,,Outfitting,,
DR017_T002,DR017,Expenditure,Trade cargo costs,2529,,0,,Outfitting,Pound sterling,"Estimated based on accounts of Pearl (Richardson 1996, ship 1790/21) which provided slaves for Daniel. Pearl had �9548 in trade goods, and purchased a total of 706 slaves, 187 of these were provided to Daniel.",Trade cargo,,
DR017_T003,DR017,Return,Net return,4666,,0,,Return,Pound sterling,,Unknown,,
DR018_H001,DR018,Expenditure,Insurance,125,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR018_H002,DR018,Expenditure,Ship Out,214.37,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR018_H003,DR018,Return,Ship In,160.7775,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR018_T001,DR018,Expenditure,Gross outlays,1136,,0,,Outfitting,Pound sterling,,Unknown,,
DR018_T002,DR018,Return,Net return,1973,,0,,Return,Pound sterling,,Unknown,,
DR019_H001,DR019,Expenditure,Insurance,1118,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR019_H002,DR019,Return,Ship In,2100,nan,0,VSRV,Return,Pound sterling,,Ship,,
DR019_T001,DR019,Expenditure,Outfitting,2114,,0,,Outfitting,Pound sterling,,Outfitting,,
DR019_T002,DR019,Expenditure,Trade cargo costs,5407,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR019_T003,DR019,Return,Bills of exchange,5865,,0,,Return,Pound sterling,,Credit,,
DR019_T004,DR019,Expenditure,Ship Out,2800,,0,,Outfitting,Pound sterling,,Ship,,
DR019_T005,DR019,Expenditure,Repairs and disbursements,541,,0,,Return,Pound sterling,,,,
DR020_H001,DR020,Expenditure,Insurance,1194,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR020_H002,DR020,Return,Ship In,2179,nan,0,VSRV,Return,Pound sterling,,Ship,,
DR020_T001,DR020,Expenditure,Trade cargo costs,7945,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR020_T002,DR020,Expenditure,Outfitting including ship purchase,2906,,0,,Outfitting,Pound sterling,,Unknown,,
DR020_T003,DR020,Return,Net return,10936,,0,,Return,Pound sterling,,Unknown,,
DR021_H001,DR021,Expenditure,Ship Out,1509,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR021_H002,DR021,Return,Ship In,1132,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR021_T001,DR021,Expenditure,Gross outlays,8876,,0,,Outfitting,Pound sterling,,Unknown,,
DR021_T002,DR021,Expenditure,Insurance,803,,0,,Return,Pound sterling,,Insurance,,
DR021_T003,DR021,Return,Goods imported,825,,0,,Return,Pound sterling,,,,
DR021_T004,DR021,Return,Sugar imported,4689,,0,,Return,Pound sterling,,,,
DR021_T005,DR021,Return,Bills of exchange,6324,,0,,Return,Pound sterling,,Credit,,
DR022_H001,DR022,Expenditure,Insurance,675,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR022_H002,DR022,Expenditure,Ship Out,1157.7,nan,0,VSDT*VSDO,Outfitting,Pound sterling,For Sarah itself,Ship,,
DR022_H003,DR022,Return,Ship In,868.27502,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR022_T001,DR022,Expenditure,Gross outlays,6135,,0,,Outfitting,Pound sterling,,Unknown,,
DR022_T002,DR022,Return,Bills of exchange,5175,,0,,Return,Pound sterling,,Credit,,
DR022_T003,DR022,Expenditure,Ship Out,143,,0,,Outfitting,Pound sterling,"Vessel and outfit of tender ship Nimble, accompanying Sarah.",Ship,,
DR022_T004,DR022,Return,Ivory sales,377,,0,,Return,Pound sterling,,,,
DR022_T005,DR022,Return,Ship In,130,,0,,Return,Pound sterling,Sale of Nimble,Ship,,
DR022_T006,DR022,Return,Sale of goods,30,,0,,Return,Pound sterling,,,,
DR022_T007,DR022,Expenditure,Inset charges,846,,0,,Return,Pound sterling,,,,
DR023_H001,DR023,Expenditure,Insurance,1294,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR023_H002,DR023,Return,Ship In,2138,nan,0,VSRV,Return,Pound sterling,,Ship,,
DR023_T001,DR023,Expenditure,Outfitting,1722,,0,,Outfitting,Pound sterling,,Outfitting,,
DR023_T002,DR023,Return,Net return,12595,,0,,Return,Pound sterling,,Unknown,,
DR023_T003,DR023,Expenditure,Ship Out,2850,,0,,Outfitting,Pound sterling,,Ship,,
DR023_T004,DR023,Expenditure,Trade cargo costs,7186,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR024_H001,DR024,Expenditure,Insurance,1173,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR024_H002,DR024,Expenditure,Ship Out,2012,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR024_H003,DR024,Return,Ship In,1509,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR024_T001,DR024,Expenditure,Gross outlays,10660,,0,,Outfitting,Pound sterling,,Unknown,,
DR024_T002,DR024,Return,Net return,13412,,0,,Return,Pound sterling,,Unknown,,
DR025_H001,DR025,Expenditure,Insurance,1082,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR025_H002,DR025,Expenditure,Ship Out,1855.38,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR025_H003,DR025,Return,Ship In,1391.535,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR025_T001,DR025,Expenditure,Gross outlays,9835,,0,,Outfitting,Pound sterling,,Unknown,,
DR025_T002,DR025,Return,Net return,6015,,0,,Return,Pound sterling,,Unknown,,
DR026_H001,DR026,Expenditure,Insurance,406,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR026_H002,DR026,Expenditure,Ship Out,696.65997,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR026_H003,DR026,Return,Ship In,522.495,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR026_T001,DR026,Expenditure,Gross outlays,3692,,0,,Outfitting,Pound sterling,,Unknown,,
DR026_T002,DR026,Return,Net return,3917,,0,,Return,Pound sterling,Net including discounting for bills,Unknown,,
DR027_H001,DR027,Expenditure,Ship Out,882.97998,nan,0,VSDT*VSDO,Outfitting,Pound sterling,"Ship ran ashore, so no value of ship in.",Ship,,
DR027_T001,DR027,Expenditure,Gross outlays,4679,,0,,Outfitting,Pound sterling,Includes insurance payment,Unknown,,
DR027_T002,DR027,Return,Insurance loss reimbursement,796,,0,,Return,Pound sterling,,Insurance,,
DR027_T003,DR027,Return,Bills of exchange,5040,,0,,Return,Pound sterling,,Credit,,
DR028_H001,DR028,Expenditure,Insurance,968,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR028_H002,DR028,Expenditure,Ship Out,912.56,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR028_H003,DR028,Return,Ship In,684.41998,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR028_T001,DR028,Expenditure,Gross outlays,4440,,0,,Outfitting,Pound sterling,,Unknown,,
DR028_T002,DR028,Return,Net return,8354,,0,,Return,Pound sterling,,Unknown,,
DR028_T003,DR028,Return,Owing from Jamaica,1348,,0,OR,Return,Pound sterling,,Doubtful credit,,
