transactionid,ventureid,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,timing,currency,remarks,specificationcategory,dateoftransaction,transaction_year
GD042_T009,GD042,Return,Reste à recouvrer,79.220001,,0,OR,Return,Livres tournois,Sommes restant à recouvrer,Doubtful credit,-62012,1790
GD043_T001,GD043,Expenditure,Not specified,1691.3417,,0,,Outfitting,Livres tournois,,Unspecified in source,-64282,1784
GD043_T002,GD043,Expenditure,Not specified,1446.3959,,0,,Outfitting,Livres tournois,,Unspecified in source,-64282,1784
GD043_T003,GD043,Return,Not specified,2565.8333,,0,,Return,Livres tournois,Répartitions portées sur les dossiers seulement,Unspecified in source,-63081,1787
GD043_T004,GD043,Return,Not specified,786.21252,,0,,Return,Livres tournois,Répartitions portées sur les dossiers seulement,Unspecified in source,-62769,1788
GD043_T005,GD043,Return,Not specified,941.57086,,0,,Return,Livres tournois,Répartitions portées sur les dossiers seulement,Unspecified in source,-62415,1789
GD043_T006,GD043,Return,Not specified,1700.0333,,0,,Return,Livres tournois,Répartitions portées sur les dossiers seulement,Unspecified in source,-62012,1790
GD043_T007,GD043,Return,Reste à recouvrer,1275.4191,,0,OR,Return,Livres tournois,Sommes restant à recouvrer,Doubtful credit,-62012,1790
GD044_T001,GD044,Expenditure,Not specified,22177.975,,0,,Outfitting,Livres tournois,,Unspecified in source,-62455,1789
GD044_T002,GD044,Expenditure,Not specified,1347.6583,,0,,After outfitting,Livres tournois,,Unspecified in source,-62455,1789
GD044_T003,GD044,Expenditure,Not specified,19028,,0,,Outfitting,Livres tournois,,Unspecified in source,-61725,1791
GD044_T004,GD044,Expenditure,Not specified,320.10001,,0,,After outfitting,Livres tournois,,Unspecified in source,-61725,1791
GD044_T005,GD044,Return,Not specified,2218.6499,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-61974,1790
GD044_T006,GD044,Return,Not specified,9931.4746,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-61944,1790
GD044_T007,GD044,Return,Not specified,2932.675,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-61648,1791
GD044_T008,GD044,Return,Not specified,1837.6,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-61489,1791
GD044_T009,GD044,Return,Not specified,5785.6792,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-61134,1792
GD044_T010,GD044,Return,Not specified,75.4375,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-60995,1792
GD044_T011,GD044,Return,Not specified,1320,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-60219,1795
GD044_T012,GD044,Return,Not specified,41.599998,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-60219,1795
GD044_T013,GD044,Return,Not specified,630.45001,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-60219,1795
GD044_T014,GD044,Return,Reste à recouvrer,47829.621,,0,OR,Return,Livres tournois,Sommes restant à recouvrer,Doubtful credit,-62079,1790
GD045_T001,GD045,Expenditure,Not specified,12366.138,,0,,Outfitting,Livres tournois,,Unspecified in source,-62090,1790
GD045_T002,GD045,Expenditure,Not specified,708.3125,,0,,After outfitting,Livres tournois,,Unspecified in source,-62090,1790
GD045_T003,GD045,Return,Not specified,16072,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-60937,1793
GD045_T004,GD045,Return,Not specified,707.78748,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-60792,1793
GD045_T005,GD045,Return,Not specified,60,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-62722,1788
GD045_T006,GD045,Return,Reste à recouvrer,4432.1602,,0,OR,Return,Livres tournois,Sommes restant à recouvrer,Doubtful credit,-60937,1793
GD046_T001,GD046,Expenditure,Not specified,14100.875,,0,,Outfitting,Livres tournois,,Unspecified in source,-63551,1786
GD046_T002,GD046,Expenditure,Not specified,582.69165,,0,,After outfitting,Livres tournois,,Unspecified in source,-63551,1786
GD046_T003,GD046,Return,Not specified,312.8125,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-62722,1788
GD046_T004,GD046,Return,Not specified,2420.9417,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-62687,1788
GD046_T005,GD046,Return,Not specified,1407.4667,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-62476,1788
GD046_T006,GD046,Return,Not specified,1459.8625,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-62396,1789
GD046_T007,GD046,Return,Not specified,915.83331,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-62113,1789
GD046_T008,GD046,Return,Not specified,2348.2,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-62036,1790
GD046_T009,GD046,Return,Not specified,2381.7417,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-61680,1791
GD046_T010,GD046,Return,Not specified,916.66669,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-61425,1791
GD046_T011,GD046,Return,Not specified,553.5,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-61881,1790
GD046_T012,GD046,Return,Reste à recouvrer,9166.6699,,0,OR,Return,Livres tournois,Sommes restant à recouvrer,Doubtful credit,-61425,1791
GD047_T001,GD047,Expenditure,Outfiting (Armement),55401,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD047_T002,GD047,Expenditure,Victuals (Vivres),24113,,0,,Outfitting,Livres tournois,,Victuals,,
GD047_T003,GD047,Expenditure,Wages (Avances),2996,,0,,Outfitting,Livres tournois,,Crew costs,,
GD048_T001,GD048,Expenditure,Outfiting (Armement),40061,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD048_T002,GD048,Expenditure,Ship (Navire),31000,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD048_T003,GD048,Expenditure,Victuals (Vivres),18864,,0,,Outfitting,Livres tournois,,Victuals,,
GD048_T004,GD048,Expenditure,Advance pay to crew (Avances),3374,,0,,Outfitting,Livres tournois,,Crew costs,,
GD048_T005,GD048,Expenditure,Cargo (cargaison),145380,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD048_T006,GD048,Expenditure,Frais,1527,,0,,Outfitting,Livres tournois,,Various,,
GD048_T007,GD048,Expenditure,Commission 2%,4807,,0,,Outfitting,Livres tournois,,Commission,,
GD048_T008,GD048,Return,Déduction pour les négres des officiers,4000,,0,,Outfitting,Livres tournois,,Crew costs,,
GD048_T009,GD048,Return,vente déesclaves,269104,,0,,Transactions during voyage,Livres tournois,,Sales of enslaved people ,,
GD048_T010,GD048,Expenditure,Various (Frais divers),150,,0,,Outfitting,Livres tournois,,Various,,
GD049_T001,GD049,Expenditure,Outfiting (Armement),37093,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD049_T002,GD049,Expenditure,Value of ship (Valeur du navire),37000,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD049_T003,GD049,Expenditure,Victuals (Vivres),28655,,0,,Outfitting,Livres tournois,,Victuals,,
GD049_T004,GD049,Expenditure,Advance pay to crew (Avances),3376,,0,,Outfitting,Livres tournois,,Crew costs,,
GD049_T005,GD049,Expenditure,Cargo (cargaison),209295,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD049_T006,GD049,Expenditure,Frais,1540,,0,,Outfitting,Livres tournois,,Various,,
GD049_T007,GD049,Expenditure,Commission 1é%,3169,,0,,Outfitting,Livres tournois,,Commission,,
GD049_T008,GD049,Expenditure,Various (Deniers oubliés),150,,0,,Outfitting,Livres tournois,,Various,,
GD049_T009,GD049,Expenditure,Déduction pour nègres des officiers,4400,,0,,Outfitting,Livres tournois,,Crew costs,,
GD049_T010,GD049,Return,vente déesclaves,467976,,0,,Transactions during voyage,Livres tournois,,Sales of enslaved people ,,
GD050_T001,GD050,Expenditure,Outfiting (Armement),22725,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD050_T002,GD050,Expenditure,Value of ship (Valeur du navire),15000,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD050_T003,GD050,Expenditure,Victuals (Vivres),22420,,0,,Outfitting,Livres tournois,,Victuals,,
GD050_T004,GD050,Expenditure,Advance pay to crew (Avances),3152,,0,,Outfitting,Livres tournois,,Crew costs,,
GD050_T005,GD050,Expenditure,Cargo (cargaison),210115,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD050_T006,GD050,Expenditure,Commission,2602,,0,,Outfitting,Livres tournois,,Commission,,
GD050_T007,GD050,Expenditure,Various (Déduction pour divers),300,,0,,Outfitting,Livres tournois,,Various,,
GD051_T001,GD051,Expenditure,Outfiting (Armement),30908,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD051_T002,GD051,Expenditure,Value of ship (Valeur du navire),15000,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD051_T003,GD051,Expenditure,Victuals (Vivres),27493,,0,,Outfitting,Livres tournois,,Victuals,,
GD051_T004,GD051,Expenditure,Advance pay to crew (Avances),3226,,0,,Outfitting,Livres tournois,,Crew costs,,
GD051_T005,GD051,Expenditure,Cargo (cargaison),194637,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD051_T006,GD051,Expenditure,Frais,1667,,0,,Outfitting,Livres tournois,,Various,,
GD051_T007,GD051,Expenditure,Various (Deniers oubliés),150,,0,,Outfitting,Livres tournois,,Various,,
GD051_T008,GD051,Expenditure,Various (Déduction pour divers),4400,,0,,Outfitting,Livres tournois,,Various,,
GD051_T009,GD051,Expenditure,Commission 2é%,2729,,0,,Outfitting,Livres tournois,,Commission,,
GD052_T001,GD052,Expenditure,Not specified,27179,,0,,Outfitting,Livres tournois,,Unspecified in source,-61725,1791
GD052_T002,GD052,Return,Not specified,2007.4,,0,,Return,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-59899,1796
GD052_T003,GD052,Return,Not specified,9425.3213,,0,,After outfitting,Livres tournois,Détail des divers comptes de répartitions portées sur la Grand Livre et dans les dossiers,Unspecified in source,-59899,1796
GD053_T001,GD053,Expenditure,Value of ship (Valeur du navire),78493,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD053_T002,GD053,Expenditure,Outfiting (Armement),44194,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD053_T003,GD053,Expenditure,Victuals (Vivres),18607,,0,,Outfitting,Livres tournois,,Victuals,,
GD053_T004,GD053,Expenditure,Advance pay to crew (Avances),3640,,0,,Outfitting,Livres tournois,,Crew costs,,
GD053_T005,GD053,Expenditure,Cargo (cargaison),156811,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD053_T006,GD053,Expenditure,Various (Déduction pour divers),928,,0,,Outfitting,Livres tournois,,Various,,
GD053_T007,GD053,Expenditure,Commission,6054,,0,,Outfitting,Livres tournois,,Commission,,
GD054_T001,GD054,Expenditure,Value of ship (Valeur du navire),165000,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD054_T002,GD054,Expenditure,Outfiting (Armement),121508,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD054_T003,GD054,Expenditure,Victuals (Vivres),37061,,0,,Outfitting,Livres tournois,,Victuals,,
GD054_T004,GD054,Expenditure,Advance pay to crew (Avances),6896,,0,,Outfitting,Livres tournois,,Crew costs,,
GD054_T005,GD054,Expenditure,Cargo (cargaison),368640,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD054_T006,GD054,Expenditure,Various (Déduction pour divers),1841,,0,,Outfitting,Livres tournois,,Various,,
GD054_T007,GD054,Expenditure,Various (Total des frais),499580,,0,,Outfitting,Livres tournois,,Various,,
GD054_T008,GD054,Expenditure,Commission,13030,,0,,Outfitting,Livres tournois,,Commission,,
GD055_T001,GD055,Expenditure,Outfiting (Armement),44638,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD055_T002,GD055,Expenditure,Victuals (Vivres),9362,,0,,Outfitting,Livres tournois,,Victuals,,
GD055_T003,GD055,Expenditure,Cargo (cargaison),11754,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD055_T004,GD055,Expenditure,Advance pay to crew (Avances),4799,,0,,Outfitting,Livres tournois,,Crew costs,,
GD056_T001,GD056,Expenditure,Value of ship (Valeur du navire),12500,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD056_T002,GD056,Expenditure,radoub,1979,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD056_T003,GD056,Expenditure,Outfiting (Armement) AND victuals,14353,,0,,Outfitting,Livres tournois,,Unspecified in source,,
GD056_T004,GD056,Expenditure,Advance pay to crew (Avances),2276,,0,,Outfitting,Livres tournois,,Crew costs,,
GD056_T005,GD056,Expenditure,Cargo (cargaison),6976,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD056_T006,GD056,Expenditure,Various (Peines divers),800,,0,,Outfitting,Livres tournois,,Various,,
GD056_T007,GD056,Expenditure,Assurances,6125,,0,,Unknown,Livres tournois,,Insurance costs,,
GD056_T008,GD056,Expenditure,Various (Déduction pour divers),5198,,0,,Outfitting,Livres tournois,,Various,,
GD057_T001,GD057,Expenditure,Outfiting (Armement),23021,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD057_T002,GD057,Expenditure,Victuals (Vivres),11096,,0,,Outfitting,Livres tournois,,Victuals,,
GD057_T003,GD057,Expenditure,Advance pay to crew (Avances),2248,,0,,Outfitting,Livres tournois,,Crew costs,,
GD057_T004,GD057,Expenditure,Cargo (cargaison),58281,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD057_T005,GD057,Expenditure,Various (Peines divers),500,,0,,Outfitting,Livres tournois,,Various,,
GD057_T006,GD057,Expenditure,Assurances,4728,,0,,Unknown,Livres tournois,,Insurance costs,,
GD057_T007,GD057,Expenditure,Wages for the Crew (Gages de lééquipage),14700,,0,,Return,Livres tournois,,Crew costs,,
GD057_T008,GD057,Expenditure,Various (Déduction pour divers),522,,0,,Outfitting,Livres tournois,,Various,,
GD057_T009,GD057,Expenditure,Various (Frais divers),957,,0,,Return,Livres tournois,,Various,,
GD057_T010,GD057,Expenditure,peines. soins et deniers oubliés,200,,0,,Return,Livres tournois,,Various,,
GD057_T011,GD057,Return,reéu pour fret des marchandises,4509,,0,,Return,Livres tournois,,Freight compensation and transport of passengers,,
GD058_T001,GD058,Expenditure,Outfiting (Armement),20673,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD058_T002,GD058,Expenditure,Value of ship (Valeur du navire),16000,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD058_T003,GD058,Expenditure,Victuals (Vivres),6223,,0,,Outfitting,Livres tournois,,Victuals,,
GD058_T004,GD058,Expenditure,Advance pay to crew (Avances),2296,,0,,Outfitting,Livres tournois,,Crew costs,,
GD058_T005,GD058,Expenditure,Cargo (cargaison),12677,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD058_T006,GD058,Expenditure,Various (Déduction pour divers),578,,0,,Outfitting,Livres tournois,,Various,,
GD059_T001,GD059,Expenditure,Value of ship (Valeur du navire),51666,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD059_T002,GD059,Expenditure,Outfiting (Armement),89186,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD059_T003,GD059,Expenditure,Victuals (Vivres),11411,,0,,Outfitting,Livres tournois,,Victuals,,
GD059_T004,GD059,Expenditure,Advance pay to crew (Avances),4225,,0,,Outfitting,Livres tournois,,Crew costs,,
GD059_T005,GD059,Expenditure,Cargo (cargaison),136514,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD059_T006,GD059,Expenditure,Commission,5860,,0,,Outfitting,Livres tournois,,Commission,,
GD059_T007,GD059,Expenditure,Various (Déduction pour divers),8505,,0,,Outfitting,Livres tournois,,Various,,
GD059_T008,GD059,Expenditure,Frais déescale,19881,,0,,Outfitting,Livres tournois,,Various,,
GD060_T001,GD060,Expenditure,Value of ship (Valeur du navire),24000,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD060_T002,GD060,Expenditure,Outfiting (Armement),55745,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD060_T003,GD060,Expenditure,Victuals (Vivres),7601,,0,,Outfitting,Livres tournois,,Victuals,,
GD060_T004,GD060,Expenditure,Cargo (cargaison),109439,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD060_T005,GD060,Expenditure,Commission,1967,,0,,Outfitting,Livres tournois,,Commission,,
GD060_T006,GD060,Expenditure,Various (Déduction pour divers),1699,,0,,Outfitting,Livres tournois,,Various,,
GD061_T001,GD061,Expenditure,Outfiting (Armement),37327,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD061_T002,GD061,Expenditure,Victuals (Vivres),11539,,0,,Outfitting,Livres tournois,,Victuals,,
GD061_T003,GD061,Expenditure,Advance pay to crew (Avances),3680,,0,,Outfitting,Livres tournois,,Crew costs,,
GD061_T004,GD061,Expenditure,Cargo (cargaison),157773,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD061_T005,GD061,Expenditure,Various (Déduction pour divers),16800,,0,,Outfitting,Livres tournois,,Various,,
GD061_T006,GD061,Return,total recettes,267590,,0,,Return,Livres tournois,,Unspecified in source,,
GD062_T001,GD062,Expenditure,Outfiting (Armement),33922,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD062_T002,GD062,Expenditure,Victuals (Vivres),1294,,0,,Outfitting,Livres tournois,,Victuals,,
GD062_T003,GD062,Expenditure,Advance pay to crew (Avances),3354,,0,,Outfitting,Livres tournois,,Crew costs,,
GD062_T004,GD062,Expenditure,Cargo (cargaison),203517,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD062_T005,GD062,Expenditure,Various (Déduction pour divers),18276,,0,,Outfitting,Livres tournois,,Various,,
GD062_T006,GD062,Return,total recettes,210970,,0,,Return,Livres tournois,,Unspecified in source,,
GD063_T001,GD063,Expenditure,Outfiting (Armement),60125,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD063_T002,GD063,Expenditure,Victuals (Vivres),14248,,0,,Outfitting,Livres tournois,,Victuals,,
GD063_T003,GD063,Expenditure,Advance pay to crew (Avances),4492,,0,,Outfitting,Livres tournois,,Crew costs,,
GD063_T004,GD063,Expenditure,Cargo (cargaison),201689,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD063_T005,GD063,Expenditure,Commission,2805,,0,,Outfitting,Livres tournois,,Commission,,
GD063_T006,GD063,Expenditure,Various (Déduction pour divers),19825,,0,,Outfitting,Livres tournois,,Various,,
GD063_T007,GD063,Return,total recettes,267590,,0,,Return,Livres tournois,,Unspecified in source,,
GD064_T001,GD064,Expenditure,Value of ship (Valeur du navire),30000,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD064_T002,GD064,Expenditure,Outfiting (Armement),81740,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD064_T003,GD064,Expenditure,Victuals (Vivres),16511,,0,,Outfitting,Livres tournois,,Victuals,,
GD064_T004,GD064,Expenditure,Advance pay to crew (Avances),5494,,0,,Outfitting,Livres tournois,,Crew costs,,
GD064_T005,GD064,Expenditure,Cargo (cargaison),78119,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD064_T006,GD064,Expenditure,Commission,2118,,0,,Outfitting,Livres tournois,,Commission,,
GD064_T007,GD064,Expenditure,Various (Déduction pour divers),2367,,0,,Outfitting,Livres tournois,,Various,,
GD064_T008,GD064,Return,total recettes,118303,,0,,Return,Livres tournois,,Unspecified in source,,
GD065_T001,GD065,Expenditure,Value of ship (Valeur du navire),40000,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD065_T002,GD065,Expenditure,Outfiting (Armement),62955,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD065_T003,GD065,Expenditure,Victuals (Vivres),11764,,0,,Outfitting,Livres tournois,,Victuals,,
GD065_T004,GD065,Expenditure,Advance pay to crew (Avances),4654,,0,,Outfitting,Livres tournois,,Crew costs,,
GD065_T005,GD065,Expenditure,Cargo (cargaison),214483,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD065_T006,GD065,Expenditure,Commission,3338,,0,,Outfitting,Livres tournois,,Commission,,
GD065_T007,GD065,Expenditure,Various (Déduction pour divers),1660,,0,,Outfitting,Livres tournois,,Various,,
GD065_T008,GD065,Return,total,406450,,0,,Return,Livres tournois,,Unspecified in source,,
GD066_T001,GD066,Expenditure,Outfiting (Armement),33562,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD066_T002,GD066,Expenditure,Victuals (Vivres),13688,,0,,Outfitting,Livres tournois,,Victuals,,
GD066_T003,GD066,Expenditure,Advance pay to crew (Avances),4421,,0,,Outfitting,Livres tournois,,Crew costs,,
GD066_T004,GD066,Expenditure,Cargo (cargaison),191222,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD066_T005,GD066,Expenditure,Commission,2428,,0,,Outfitting,Livres tournois,,Commission,,
GD066_T006,GD066,Expenditure,Various (Déduction pour divers),1200,,0,,Outfitting,Livres tournois,,Various,,
GD066_T007,GD066,Return,total,436629,,0,,Return,Livres tournois,,Unspecified in source,,
GD067_T001,GD067,Expenditure,Value of ship (Valeur du navire),49643,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD067_T002,GD067,Expenditure,Outfiting (Armement),8403,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD067_T003,GD067,Expenditure,Victuals (Vivres),14775,,0,,Outfitting,Livres tournois,,Victuals,,
GD067_T004,GD067,Expenditure,Advance pay to crew (Avances),4770,,0,,Outfitting,Livres tournois,,Crew costs,,
GD067_T005,GD067,Expenditure,Cargo (cargaison),215140,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD067_T006,GD067,Expenditure,Commission,3423,,0,,Outfitting,Livres tournois,,Commission,,
GD067_T007,GD067,Expenditure,Various (Déduction pour divers),23094,,0,,Outfitting,Livres tournois,,Various,,
GD067_T008,GD067,Return,total,352380,,0,,Return,Livres tournois,,Unspecified in source,,
GD068_T001,GD068,Expenditure,Outfiting (Armement),39019,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD068_T002,GD068,Expenditure,Victuals (Vivres),11727,,0,,Outfitting,Livres tournois,,Victuals,,
GD068_T003,GD068,Expenditure,Advance pay to crew (Avances),4556,,0,,Outfitting,Livres tournois,,Crew costs,,
GD068_T004,GD068,Expenditure,Cargo (cargaison),231065,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD068_T005,GD068,Expenditure,Commission,3042,,0,,Outfitting,Livres tournois,,Commission,,
GD068_T006,GD068,Expenditure,Various (Déduction pour divers),21700,,0,,Outfitting,Livres tournois,,Various,,
GD068_T007,GD068,Expenditure,VIVRE DES NOIRS (?),12821,,0,,Outfitting,Livres tournois,,Victuals,,
GD068_T008,GD068,Expenditure,frais,1206,,0,,Outfitting,Livres tournois,,Various,,
GD068_T009,GD068,Return,total,286701.84,,0,,Return,Livres tournois,,Unspecified in source,,
GD069_T001,GD069,Expenditure,Value of ship (Valeur du navire),30000,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD069_T002,GD069,Expenditure,Outfiting (Armement),33509,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD069_T003,GD069,Expenditure,Victuals (Vivres),18380,,0,,Outfitting,Livres tournois,,Victuals,,
GD069_T004,GD069,Expenditure,Advance pay to crew (Avances),3365,,0,,Outfitting,Livres tournois,,Crew costs,,
GD069_T005,GD069,Expenditure,Cargo (cargaison),130572,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD069_T006,GD069,Expenditure,Various (Déduction pour divers),13061,,0,,Outfitting,Livres tournois,,Various,,
GD070_T001,GD070,Expenditure,Outfiting (Armement),45895,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD070_T002,GD070,Expenditure,Advance pay to crew (Avances),4538,,0,,Outfitting,Livres tournois,,Crew costs,,
GD070_T003,GD070,Expenditure,Victuals (Vivres),15370,,0,,Outfitting,Livres tournois,,Victuals,,
GD070_T004,GD070,Expenditure,Cargo (cargaison),89454,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD070_T005,GD070,Expenditure,VIVRE DES NOIRS (?),1270,,0,,Outfitting,Livres tournois,,Victuals,,
GD070_T006,GD070,Expenditure,Various (Déduction pour divers),36100,,0,,Outfitting,Livres tournois,,Various,,
GD070_T007,GD070,Expenditure,frais,9614,,0,,Outfitting,Livres tournois,,Various,,
GD070_T008,GD070,Expenditure,Frais déescale,110603,,0,,Outfitting,Livres tournois,,Various,,
GD070_T009,GD070,Return,Not specified,178128.19,,0,,Return,Livres tournois,,Unspecified in source,,
GD071_T001,GD071,Expenditure,Value of ship (Valeur du navire),41561,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD071_T002,GD071,Expenditure,Outfiting (Armement),71177,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD071_T003,GD071,Expenditure,Advance pay to crew (Avances),5014,,0,,Outfitting,Livres tournois,,Crew costs,,
GD071_T004,GD071,Expenditure,Victuals (Vivres),11652,,0,,Outfitting,Livres tournois,,Victuals,,
GD071_T005,GD071,Expenditure,Cargo (cargaison),113507,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD071_T006,GD071,Expenditure,Commission,2429,,0,,Outfitting,Livres tournois,,Commission,,
GD071_T007,GD071,Expenditure,Various (Déduction pour divers),1653,,0,,Outfitting,Livres tournois,,Various,,
GD072_T001,GD072,Expenditure,Outfiting (Armement),31174,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD072_T002,GD072,Expenditure,Victuals (Vivres),26905,,0,,Outfitting,Livres tournois,,Victuals,,
GD072_T003,GD072,Expenditure,Advance pay to crew (Avances),3208,,0,,Outfitting,Livres tournois,,Crew costs,,
GD072_T004,GD072,Expenditure,Cargo (cargaison),160215,,0,,Outfitting,Livres tournois,,Sales of other goods,,
GD072_T005,GD072,Expenditure,Value of ship (Valeur du navire),24000,,0,,Outfitting,Livres tournois,,Value of ship before departure,,
GD072_T006,GD072,Expenditure,Various (Frais divers),1860,,0,,Outfitting,Livres tournois,,Various,,
GD072_T007,GD072,Expenditure,Commission,4947,,0,,Outfitting,Livres tournois,,Commission,,
GD072_T008,GD072,Return,total,281895,,0,,Return,Livres tournois,Erreur de retranscriptioné? Differents retours par rapport é guillaume,Unspecified in source,,
GD073_T001,GD073,Expenditure,Outfiting (Armement),50128,,0,,Outfitting,Livres tournois,,Outfitting costs,,
GD073_T002,GD073,Expenditure,Victuals (Vivres),28806,,0,,Outfitting,Livres tournois,,Victuals,,
GD073_T003,GD073,Expenditure,Advance pay to crew (Avances),3464,,0,,Outfitting,Livres tournois,,Crew costs,,
