Line number,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
111,KR020,Return,Remitted sale of slaves in America,89790,,0,,,Return,Danish rigsdaler,
112,KR021,Expenditure,Total expenditure,76409,,0,,,Outfitting,Danish rigsdaler,
113,KR021,Return,Remitted sale of slaves in America,92540,,0,,,Return,Danish rigsdaler,
114,KR017,Expenditure,Ship out,8603,,0,VSDO*VSDT,,Outfitting,Danish rigsdaler,
115,KR017,Return,Ship in,6453,,0,VSDO*VSRV*VSRT,,Return,Danish rigsdaler,
116,KR017,Expenditure,Insurance,12652,,0,INT,,Outfitting,Danish rigsdaler,
117,KR018,Expenditure,Ship out,9103,,0,VSDO*VSDT,,Outfitting,Danish rigsdaler,
118,KR018,Expenditure,Insurance,13386,,0,INT,,Outfitting,Danish rigsdaler,
119,KR018,Return,Ship in,6827,,0,VSDO*VSRV*VSRT,,Return,Danish rigsdaler,
120,KR019,Expenditure,Ship out,7476,,0,VSDO*VSDT,,Outfitting,Danish rigsdaler,
121,KR019,Expenditure,Insurance,10994,,0,INT,,Outfitting,Danish rigsdaler,
122,KR019,Return,Ship in,5607,,0,VSDO*VSRV*VSRT,,Return,Danish rigsdaler,
123,KR020,Expenditure,Ship out,12991,,0,VSDO*VSDT,,Outfitting,Danish rigsdaler,
124,KR020,Expenditure,Insurance,19104,,0,INT,,Outfitting,Danish rigsdaler,
125,KR020,Return,Ship in,9743,,0,VSDO*VSRV*VSRT,,Return,Danish rigsdaler,
126,KR021,Expenditure,Ship out,12990,,0,VSDO*VSDT,,Outfitting,Danish rigsdaler,
127,KR021,Expenditure,Insurance,19102,,0,INT,,Outfitting,Danish rigsdaler,
128,KR021,Return,Ship in,9742,,0,VSDO*VSRV*VSRT,,Return,Danish rigsdaler,
129,KR054,Expenditure,Direct cost,22921,,0,,,Return,Peso fuerte,
130,KR055,Expenditure,Direct cost,30411,,0,,,Return,Peso fuerte,
131,KR056,Expenditure,Direct cost,36216,,0,,,Return,Peso fuerte,
132,KR057,Expenditure,Direct cost,26236,,0,,,Return,Peso fuerte,
133,KR058,Expenditure,Direct cost,26788,,0,,,Return,Peso fuerte,
134,KR059,Expenditure,Direct cost,35053,,0,,,Return,Peso fuerte,
135,KR060,Expenditure,Direct cost,85509,,0,,,Return,Peso fuerte,
136,KR061,Expenditure,Direct cost,55103,,0,,,Return,Peso fuerte,
137,KR062,Expenditure,Direct cost,61664,,0,,,Return,Peso fuerte,
138,KR063,Expenditure,Direct cost,63086,,0,,,Return,Peso fuerte,
139,KR064,Expenditure,Direct cost,56428,,0,,,Return,Peso fuerte,
140,KR065,Expenditure,Direct cost,27173,,0,,,Return,Peso fuerte,
141,KR066,Expenditure,Direct cost,11000,,0,,,Return,Peso fuerte,
142,KR067,Expenditure,Direct cost,31000,,0,,,Return,Peso fuerte,
143,KR068,Expenditure,Direct cost,21000,,0,,,Return,Peso fuerte,
144,KR069,Expenditure,Direct cost,26000,,0,,,Return,Peso fuerte,
145,KR070,Expenditure,Direct cost,30500,,0,,,Return,Peso fuerte,
146,KR054,Expenditure,Investment,43017,,0,,,Outfitting,Peso fuerte,
147,KR055,Expenditure,Investment,62657,,0,,,Outfitting,Peso fuerte,
148,KR056,Expenditure,Investment,75211,,0,,,Outfitting,Peso fuerte,
149,KR057,Expenditure,Investment,61358,,0,,,Outfitting,Peso fuerte,
150,KR058,Expenditure,Investment,46438,,0,,,Outfitting,Peso fuerte,
151,KR059,Expenditure,Investment,92070,,0,,,Outfitting,Peso fuerte,
152,KR060,Expenditure,Investment,91998,,0,,,Outfitting,Peso fuerte,
153,KR061,Expenditure,Investment,78878,,0,,,Outfitting,Peso fuerte,
154,KR062,Expenditure,Investment,97793,,0,,,Outfitting,Peso fuerte,
155,KR063,Expenditure,Investment,78134,,0,,,Outfitting,Peso fuerte,
156,KR064,Expenditure,Investment,79665,,0,,,Outfitting,Peso fuerte,
157,KR065,Expenditure,Investment,43719,,0,Other,,Outfitting,Peso fuerte,"Imputed by original authors, unknown exactly how"
158,KR066,Expenditure,Investment,40911,,0,Other,,Outfitting,Peso fuerte,"Imputed by original authors, unknown exactly how"
159,KR067,Expenditure,Investment,67093,,0,Other,,Outfitting,Peso fuerte,"Imputed by original authors, unknown exactly how"
160,KR068,Expenditure,Investment,53400,,0,Other,,Outfitting,Peso fuerte,"Imputed by original authors, unknown exactly how"
161,KR069,Expenditure,Investment,95655,,0,Other,,Outfitting,Peso fuerte,"Imputed by original authors, unknown exactly how"
162,KR070,Expenditure,Investment,62120,,0,Other,,Outfitting,Peso fuerte,"Imputed by original authors, unknown exactly how"
163,KR054,Return,Returns from slaves sales,145711,,0,,,Return,Peso fuerte,
164,KR055,Return,Returns from slaves sales,159596,,0,,,Return,Peso fuerte,
165,KR056,Return,Returns from slaves sales,154763,,0,,,Return,Peso fuerte,
166,KR057,Return,Returns from slaves sales,107214,,0,,,Return,Peso fuerte,
167,KR058,Return,Returns from slaves sales,162550,,0,,,Return,Peso fuerte,
168,KR059,Return,Returns from slaves sales,209488,,0,,,Return,Peso fuerte,
169,KR060,Return,Returns from slaves sales,124737,,0,,,Return,Peso fuerte,
170,KR061,Return,Returns from slaves sales,218007,,0,,,Return,Peso fuerte,
171,KR062,Return,Returns from slaves sales,256146,,0,,,Return,Peso fuerte,
172,KR063,Return,Returns from slaves sales,111683,,0,,,Return,Peso fuerte,
173,KR064,Return,Returns from slaves sales,180078,,0,,,Return,Peso fuerte,
174,KR065,Return,Returns from slaves sales,128484,,0,,,Return,Peso fuerte,
175,KR066,Return,Returns from slaves sales,74366,,0,Other,,Return,Peso fuerte,"Estimated based on known number of slaves sold, and average price of slaves prevalent the year in question."
176,KR067,Return,Returns from slaves sales,151981,,0,Other,,Return,Peso fuerte,"Estimated based on known number of slaves sold, and average price of slaves prevalent the year in question."
177,KR068,Return,Returns from slaves sales,108300,,0,Other,,Return,Peso fuerte,"Estimated based on known number of slaves sold, and average price of slaves prevalent the year in question."
178,KR069,Return,Returns from slaves sales,162060,,0,Other,,Return,Peso fuerte,"Estimated based on known number of slaves sold, and average price of slaves prevalent the year in question."
179,KR070,Return,Returns from slaves sales,134685,,0,Other,,Return,Peso fuerte,"Estimated based on known number of slaves sold, and average price of slaves prevalent the year in question."
180,KR054,Return,Other returns,10000,,0,,,Return,Peso fuerte,
181,KR055,Return,Other returns,11623,,0,,,Return,Peso fuerte,
182,KR056,Return,Other returns,13728,,0,,,Return,Peso fuerte,
183,KR057,Return,Other returns,8000,,0,,,Return,Peso fuerte,
184,KR058,Return,Other returns,8019,,0,,,Return,Peso fuerte,
