linenumber,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
92,DR014,Return,Returned goods,984.96,,0,,1756-04-03,Return,Pound sterling,
93,DR014,Expenditure,Ship Out,380.4124,,0,VSDT*VSDO,,Outfitting,Pound sterling,
94,DR014,Return,Ship In,285.3093,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
95,DR015,Expenditure,Gross outlays,5566,,0,,,Outfitting,Pound sterling,
96,DR015,Expenditure,Insurance,612,,0,INV,,Outfitting,Pound sterling,
97,DR015,Return,Net inset,5030,,0,,,Return,Pound sterling,
98,DR015,Expenditure,Ship Out,522.495,,0,VSDT*VSDO*VSRV,,Outfitting,Pound sterling,Residual value from previous voyage DR026
99,DR015,Return,Ship In,391.87,,0,VSDT*VSDO*VSRV*VSRV,,Return,Pound sterling,
100,DR016,Expenditure,Gross outlays,913,,0,,,Outfitting,Pound sterling,
101,DR016,Expenditure,Insurance,100,,0,INV,,Outfitting,Pound sterling,
102,DR016,Return,Net return,2620,,0,,,Return,Pound sterling,
103,DR016,Expenditure,Ship Out,172.21,,0,VSDT*VSDO,,Outfitting,Pound sterling,
104,DR016,Return,Ship In,129.1575,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
105,DR017,Expenditure,Outfitting,2819,,0,,,Outfitting,Pound sterling,
106,DR017,Expenditure,Trade cargo costs,2529,,0,Other,,Outfitting,Pound sterling,"Estimated based on accounts of Pearl (Richardson 1996, ship 1790/21) which provided slaves for Daniel. Pearl had �9548 in trade goods, and purchased a total of 706 slaves, 187 of these were provided to Daniel."
107,DR017,Expenditure,Insurance,588,,0,INV,,Outfitting,Pound sterling,
108,DR017,Return,Net return,4666,,0,,,Return,Pound sterling,
109,DR017,Expenditure,Ship Out,1009,,0,VSDT*VSDO,,Outfitting,Pound sterling,
110,DR017,Return,Ship In,757,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
111,DR018,Expenditure,Gross outlays,1136,,0,,,Outfitting,Pound sterling,
112,DR018,Expenditure,Insurance,125,,0,INV,,Outfitting,Pound sterling,
113,DR018,Return,Net return,1973,,0,,,Return,Pound sterling,
114,DR018,Expenditure,Ship Out,214.37,,0,VSDT*VSDO,,Outfitting,Pound sterling,
115,DR018,Return,Ship In,160.7775,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
116,DR019,Expenditure,Outfitting,2114,,0,,,Outfitting,Pound sterling,
117,DR019,Expenditure,Trade cargo costs,5407,,0,,,Outfitting,Pound sterling,
118,DR019,Expenditure,Insurance,1118,,0,INV,,Outfitting,Pound sterling,
119,DR019,Return,Bills of exchange,5865,,0,,,Return,Pound sterling,
120,DR019,Expenditure,Ship Out,2800,,0,,,Outfitting,Pound sterling,
121,DR019,Return,Ship In,2100,,0,VSRV,,Return,Pound sterling,
122,DR020,Expenditure,Trade cargo costs,7945,,0,,,Outfitting,Pound sterling,
123,DR020,Expenditure,Outfitting including ship purchase,2906,,0,,,Outfitting,Pound sterling,
124,DR020,Expenditure,Insurance,1194,,0,INV,,Outfitting,Pound sterling,
125,DR020,Return,Net return,10936,,0,,,Return,Pound sterling,
126,DR020,Return,Ship In,2179,,0,VSRV,,Return,Pound sterling,
127,DR021,Expenditure,Gross outlays,8876,,0,,,Outfitting,Pound sterling,
128,DR021,Expenditure,Insurance,803,,0,,,Return,Pound sterling,
129,DR021,Return,Goods imported,825,,0,,,Return,Pound sterling,
130,DR021,Return,Sugar imported,4689,,0,,,Return,Pound sterling,
131,DR021,Return,Bills of exchange,6324,,0,,,Return,Pound sterling,
132,DR021,Expenditure,Ship Out,1509,,0,VSDT*VSDO,,Outfitting,Pound sterling,
133,DR021,Return,Ship In,1132,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
134,DR022,Expenditure,Gross outlays,6135,,0,,,Outfitting,Pound sterling,
135,DR022,Expenditure,Insurance,675,,0,INV,,Outfitting,Pound sterling,
136,DR022,Return,Bills of exchange,5175,,0,,,Return,Pound sterling,
137,DR022,Expenditure,Ship Out,1157.7,,0,VSDT*VSDO,,Outfitting,Pound sterling,For Sarah itself
138,DR022,Return,Ship In,868.275,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
139,DR023,Expenditure,Outfitting,1722,,0,,,Outfitting,Pound sterling,
140,DR023,Expenditure,Insurance,1294,,0,INV,,Outfitting,Pound sterling,
141,DR023,Return,Net return,12595,,0,,,Return,Pound sterling,
142,DR023,Expenditure,Ship Out,2850,,0,,,Outfitting,Pound sterling,
143,DR023,Return,Ship In,2138,,0,VSRV,,Return,Pound sterling,
144,DR024,Expenditure,Gross outlays,10660,,0,,,Outfitting,Pound sterling,
145,DR024,Expenditure,Insurance,1173,,0,INV,,Outfitting,Pound sterling,
146,DR024,Return,Net return,13412,,0,,,Return,Pound sterling,
147,DR024,Expenditure,Ship Out,2012,,0,VSDT*VSDO,,Outfitting,Pound sterling,
148,DR024,Return,Ship In,1509,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
149,DR025,Expenditure,Gross outlays,9835,,0,,,Outfitting,Pound sterling,
150,DR025,Expenditure,Insurance,1082,,0,INV,,Outfitting,Pound sterling,
151,DR025,Return,Net return,6015,,0,,,Return,Pound sterling,
152,DR025,Expenditure,Ship Out,1855.38,,0,VSDT*VSDO,,Outfitting,Pound sterling,
153,DR025,Return,Ship In,1391.535,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
154,DR026,Expenditure,Gross outlays,3692,,0,,,Outfitting,Pound sterling,
155,DR026,Expenditure,Insurance,406,,0,INV,,Outfitting,Pound sterling,
156,DR026,Return,Net return,3917,,0,,,Return,Pound sterling,Net including discounting for bills
157,DR026,Expenditure,Ship Out,696.66,,0,VSDT*VSDO,,Outfitting,Pound sterling,
158,DR026,Return,Ship In,522.495,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
159,DR027,Expenditure,Gross outlays,4679,,0,,,Outfitting,Pound sterling,Includes insurance payment
160,DR027,Return,Insurance loss reimbursement,796,,0,,,Return,Pound sterling,
161,DR027,Return,Bills of exchange,5040,,0,,,Return,Pound sterling,
162,DR027,Expenditure,Ship Out,882.98,,0,VSDT*VSDO,,Outfitting,Pound sterling,"Ship ran ashore, so no value of ship in."
163,DR028,Expenditure,Gross outlays,4440,,0,,,Outfitting,Pound sterling,
164,DR028,Expenditure,Insurance,968,,0,INV,,Outfitting,Pound sterling,
165,DR028,Return,Net return,8354,,0,,,Return,Pound sterling,
166,DR028,Return,Owing from Jamaica,1348,,0,OR,,Return,Pound sterling,
167,DR028,Expenditure,Ship Out,912.56,,0,VSDT*VSDO,,Outfitting,Pound sterling,
168,DR028,Return,Ship In,684.42,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
169,DR029,Expenditure,Gross outlays,4938,,0,,,Outfitting,Pound sterling,
170,DR029,Expenditure,Insurance,543,,0,INV,,Outfitting,Pound sterling,
171,DR029,Return,Net return,6382,,0,,,Return,Pound sterling,
172,DR029,Expenditure,Ship Out,513,,0,VSDT*VSDO*VSRV*VSRV,,Outfitting,Pound sterling,Residual value from previous voyage DR110
173,DR029,Return,Ship In,385,,0,VSDT*VSDO*VSRV*VSRV*VSRV,,Return,Pound sterling,
174,DR030,Expenditure,Gross outlays,6085,,0,,,Outfitting,Pound sterling,
175,DR030,Expenditure,Insurance,669,,0,INV,,Outfitting,Pound sterling,
176,DR030,Return,Net return,6582,,0,,,Return,Pound sterling,
177,DR030,Return,Owing from Jamaica,1153,,0,OR,,Return,Pound sterling,
178,DR030,Expenditure,Ship Out,385,,0,VSDT*VSDO*VSRV*VSRV*VSRV,,Outfitting,Pound sterling,Residual value from previous voyage DR029
179,DR030,Return,Ship In,289,,0,VSDT*VSDO*VSRV*VSRV*VSRV*VSRV,,Return,Pound sterling,
180,DR031,Expenditure,Gross outlays,3224,,0,,,Outfitting,Pound sterling,
181,DR031,Expenditure,Insurance,355,,0,INV,,Outfitting,Pound sterling,
182,DR031,Return,Net return,4727,,0,,,Return,Pound sterling,
183,DR031,Expenditure,Ship Out,608.43,,0,VSDT*VSDO,,Outfitting,Pound sterling,
184,DR031,Return,Ship In,456.3225,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
185,DR032,Expenditure,Gross outlays,2820,,0,,,Outfitting,Pound sterling,
186,DR032,Expenditure,Insurance,310,,0,INV,,Outfitting,Pound sterling,
187,DR032,Return,Net return,3716,,0,,,Return,Pound sterling,
188,DR032,Expenditure,Ship Out,532.1,,0,VSDT*VSDO,,Outfitting,Pound sterling,
189,DR032,Return,Ship In,399.075,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
190,DR033,Expenditure,Gross outlays,3168,,0,,,Outfitting,Pound sterling,
191,DR033,Expenditure,Insurance,348,,0,INV,,Outfitting,Pound sterling,
192,DR033,Return,Net return,2101,,0,,,Return,Pound sterling,
193,DR033,Expenditure,Ship Out,597.72,,0,VSDT*VSDO,,Outfitting,Pound sterling,
194,DR033,Return,Ship In,448.29,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
195,DR034,Expenditure,Gross outlays,3601,,0,,,Outfitting,Pound sterling,
196,DR034,Expenditure,Insurance,396,,0,INV,,Outfitting,Pound sterling,
197,DR034,Return,Net return,2681,,0,,,Return,Pound sterling,
198,DR034,Expenditure,Ship Out,679.49,,0,VSDT*VSDO,,Outfitting,Pound sterling,
199,DR034,Return,Ship In,509.6175,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
200,DR035,Expenditure,Gross outlays,2737,,0,,,Outfitting,Pound sterling,
201,DR035,Expenditure,Insurance,301,,0,INV,,Outfitting,Pound sterling,
202,DR035,Return,Net return,2864,,0,,,Return,Pound sterling,
203,DR035,Expenditure,Ship Out,516.46,,0,VSDT*VSDO,,Outfitting,Pound sterling,
204,DR035,Return,Ship In,387.345,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
